date,Maina,ibov,CDI,usd
2022-01-25,13009.55,1061.49,1958.58,492.65
2022-01-24,12839.58,1039.66,1957.90,492.10
2022-01-21,12949.41,1049.33,1957.22,487.54
2022-01-20,13033.27,1050.88,1956.54,485.44
2022-01-19,12861.93,1040.39,1955.86,492.71
2022-01-18,12688.01,1027.43,1955.18,494.82
2022-01-17,12687.24,1024.60,1954.50,493.43
2022-01-14,12804.18,1029.93,1953.82,496.04
2022-01-13,12776.22,1016.47,1953.15,495.12
2022-01-12,12795.35,1017.97,1952.47,498.39
2022-01-11,12611.22,999.61,1951.79,505.02
2022-01-10,12484.50,981.94,1951.11,508.47
2022-01-07,12503.43,989.40,1950.43,508.62
2022-01-06,12519.39,978.24,1949.76,511.21
2022-01-05,12587.17,972.89,1949.08,507.50
2022-01-04,12944.30,997.05,1948.40,508.83
2022-01-03,12928.57,1000.98,1947.72,504.64
2021-12-31,13157.86,1009.66,1947.05,500.13
2021-12-30,13149.43,1009.66,1946.37,500.13
2021-12-29,13031.02,1002.77,1945.70,507.42
2021-12-28,13090.49,1010.06,1945.02,505.80
2021-12-27,13015.12,1016.71,1944.34,507.70
2021-12-24,12951.76,1010.32,1943.67,506.78
2021-12-23,12951.86,1010.32,1942.99,510.03
2021-12-22,12975.92,1013.71,1942.32,512.64
2021-12-21,13014.91,1016.18,1941.64,514.18
2021-12-20,13073.43,1011.56,1940.97,511.33
2021-12-17,13306.53,1032.56,1940.30,510.47
2021-12-16,13250.37,1043.40,1939.62,510.50
2021-12-15,13275.02,1034.78,1938.95,511.97
2021-12-14,13212.42,1028.32,1938.27,506.01
2021-12-13,13289.68,1034.32,1937.60,505.07
2021-12-10,13351.26,1037.93,1936.93,501.25
2021-12-09,13194.09,1023.80,1936.25,497.97
2021-12-08,13302.48,1041.18,1935.69,499.89
2021-12-07,13114.86,1036.00,1935.12,505.56
2021-12-06,13168.67,1029.27,1934.56,509.73
2021-12-03,13085.57,1012.04,1933.99,505.75
2021-12-02,12935.61,1006.22,1933.42,504.97
2021-12-01,12666.03,970.67,1932.86,503.38
2021-11-30,12688.72,981.66,1932.29,503.66
2021-11-29,12789.86,990.31,1931.73,502.93
2021-11-26,12623.93,984.63,1931.16,500.66
2021-11-25,12843.01,1019.18,1930.60,499.54
2021-11-24,12718.35,1006.69,1930.03,502.12
2021-11-23,12604.87,998.40,1929.47,505.96
2021-11-22,12471.62,983.65,1928.91,500.45
2021-11-19,12667.76,992.44,1928.34,498.14
2021-11-18,12590.01,986.57,1927.78,497.12
2021-11-17,12533.55,991.61,1927.21,492.85
2021-11-16,12684.15,1005.62,1926.65,490.87
2021-11-12,12821.59,1024.22,1926.09,485.73
2021-11-11,13019.02,1036.36,1925.52,485.48
2021-11-10,12776.77,1020.68,1924.96,489.24
2021-11-09,12714.30,1016.52,1924.40,492.52
2021-11-08,12627.27,1009.26,1923.83,498.53
2021-11-05,12675.31,1009.67,1923.27,496.99
2021-11-04,12526.72,996.07,1922.71,501.35
2021-11-03,12637.22,1017.31,1922.15,507.90
2021-11-01,12431.22,1016.67,1921.58,508.09
2021-10-29,12301.04,996.92,1921.02,505.73
2021-10-28,12446.63,1018.16,1920.46,502.98
2021-10-27,12630.29,1024.50,1920.01,498.89
2021-10-26,12694.47,1025.04,1919.55,500.08
2021-10-25,12998.70,1047.15,1919.10,501.63
2021-10-22,12714.94,1023.85,1918.64,511.88
2021-10-21,12823.62,1037.71,1918.19,505.66
2021-10-20,13102.38,1067.10,1917.73,498.03
2021-10-19,13191.43,1066.01,1917.28,497.58
2021-10-18,13536.63,1102.18,1916.83,494.64
2021-10-15,13462.09,1104.30,1916.37,488.52
2021-10-14,13329.29,1090.21,1915.92,492.80
2021-10-13,13389.07,1092.81,1915.46,497.12
2021-10-11,13196.94,1080.53,1915.01,494.35
